ID,Year_Period,Jurisdiction,Case_Type,Case_Count
341,2016/2017,Saskatchewan,General civil cases,68774
342,2016/2017,Saskatchewan,Total cases,105848
343,2016/2017,Yukon,Family cases,1904
344,2016/2017,Yukon,General civil cases,3782
345,2016/2017,Yukon,Total cases,5686
346,2017/2018,Alberta,Family cases,269498
347,2017/2018,Alberta,General civil cases,598744
348,2017/2018,Alberta,Total cases,868242
349,2017/2018,British Columbia,Family cases,223058
350,2017/2018,British Columbia,General civil cases,530126
351,2017/2018,British Columbia,Total cases,753184
352,2017/2018,Canada,Family cases,1246064
353,2017/2018,Canada,General civil cases,2555822
354,2017/2018,Canada,Total cases,3801886
355,2017/2018,New Brunswick,Family cases,26116
356,2017/2018,New Brunswick,General civil cases,40822
357,2017/2018,New Brunswick,Total cases,66938
358,2017/2018,Northwest Territories,Family cases,2638
359,2017/2018,Northwest Territories,General civil cases,4304
360,2017/2018,Northwest Territories,Total cases,6942
361,2017/2018,Nova Scotia,Family cases,52526
362,2017/2018,Nova Scotia,General civil cases,84198
363,2017/2018,Nova Scotia,Total cases,136724
364,2017/2018,Nunavut,Family cases,3672
365,2017/2018,Nunavut,General civil cases,1482
366,2017/2018,Nunavut,Total cases,5154
367,2017/2018,Ontario,Family cases,622604
368,2017/2018,Ontario,General civil cases,1209560
369,2017/2018,Ontario,Total cases,1832164
370,2017/2018,Prince Edward Island,Family cases,5464
371,2017/2018,Prince Edward Island,General civil cases,12142
372,2017/2018,Prince Edward Island,Total cases,17606
373,2017/2018,Saskatchewan,Family cases,38308
374,2017/2018,Saskatchewan,General civil cases,71162
375,2017/2018,Saskatchewan,Total cases,109470
376,2017/2018,Yukon,Family cases,2180
377,2017/2018,Yukon,General civil cases,3282
378,2017/2018,Yukon,Total cases,5462
379,2018/2019,Alberta,Family cases,271172
380,2018/2019,Alberta,General civil cases,592228
381,2018/2019,Alberta,Total cases,863400
382,2018/2019,British Columbia,Family cases,222358
383,2018/2019,British Columbia,General civil cases,546336
384,2018/2019,British Columbia,Total cases,768694
385,2018/2019,Canada,Family cases,1259336
386,2018/2019,Canada,General civil cases,2559216
387,2018/2019,Canada,Total cases,3818552
388,2018/2019,New Brunswick,Family cases,26966
389,2018/2019,New Brunswick,General civil cases,41646
390,2018/2019,New Brunswick,Total cases,68612
391,2018/2019,Northwest Territories,Family cases,2584
392,2018/2019,Northwest Territories,General civil cases,4982
393,2018/2019,Northwest Territories,Total cases,7566
394,2018/2019,Nova Scotia,Family cases,52008
395,2018/2019,Nova Scotia,General civil cases,83462
396,2018/2019,Nova Scotia,Total cases,135470
397,2018/2019,Nunavut,Family cases,3810
398,2018/2019,Nunavut,General civil cases,1502
399,2018/2019,Nunavut,Total cases,5312
400,2018/2019,Ontario,Family cases,634568
401,2018/2019,Ontario,General civil cases,1199386
402,2018/2019,Ontario,Total cases,1833954
403,2018/2019,Prince Edward Island,Family cases,5552
404,2018/2019,Prince Edward Island,General civil cases,12432
405,2018/2019,Prince Edward Island,Total cases,17984
406,2018/2019,Saskatchewan,Family cases,38322
407,2018/2019,Saskatchewan,General civil cases,73908
408,2018/2019,Saskatchewan,Total cases,112230
409,2018/2019,Yukon,Family cases,1996
410,2018/2019,Yukon,General civil cases,3334
411,2018/2019,Yukon,Total cases,5330
412,2019/2020,Alberta,Family cases,266118
413,2019/2020,Alberta,General civil cases,597310
414,2019/2020,Alberta,Total cases,863428
415,2019/2020,British Columbia,Family cases,219116
416,2019/2020,British Columbia,General civil cases,564304
417,2019/2020,British Columbia,Total cases,783420
418,2019/2020,Canada,Family cases,1173768
419,2019/2020,Canada,General civil cases,2552870
420,2019/2020,Canada,Total cases,3726638
421,2019/2020,New Brunswick,Family cases,29076
422,2019/2020,New Brunswick,General civil cases,43224
423,2019/2020,New Brunswick,Total cases,72300
424,2019/2020,Northwest Territories,Family cases,2316
425,2019/2020,Northwest Territories,General civil cases,4560
426,2019/2020,Northwest Territories,Total cases,6876
427,2019/2020,Nova Scotia,Family cases,49560
428,2019/2020,Nova Scotia,General civil cases,80986
429,2019/2020,Nova Scotia,Total cases,130546
430,2019/2020,Nunavut,Family cases,2912
431,2019/2020,Nunavut,General civil cases,1076
432,2019/2020,Nunavut,Total cases,3988
433,2019/2020,Ontario,Family cases,559846
434,2019/2020,Ontario,General civil cases,1175214
435,2019/2020,Ontario,Total cases,1735060
436,2019/2020,Prince Edward Island,Family cases,5582
437,2019/2020,Prince Edward Island,General civil cases,11430
438,2019/2020,Prince Edward Island,Total cases,17012
439,2019/2020,Saskatchewan,Family cases,37466
440,2019/2020,Saskatchewan,General civil cases,71470
441,2019/2020,Saskatchewan,Total cases,108936
442,2019/2020,Yukon,Family cases,1776
443,2019/2020,Yukon,General civil cases,3296
444,2019/2020,Yukon,Total cases,5072
445,2020/2021,Alberta,Family cases,219716
446,2020/2021,Alberta,General civil cases,471992
447,2020/2021,Alberta,Total cases,691708
448,2020/2021,British Columbia,Family cases,185742
449,2020/2021,British Columbia,General civil cases,494658
450,2020/2021,British Columbia,Total cases,680400
451,2020/2021,Canada,Family cases,893654
452,2020/2021,Canada,General civil cases,1824912
453,2020/2021,Canada,Total cases,2718566
454,2020/2021,New Brunswick,Family cases,26322
455,2020/2021,New Brunswick,General civil cases,37062
456,2020/2021,New Brunswick,Total cases,63384
457,2020/2021,Northwest Territories,Family cases,2408
458,2020/2021,Northwest Territories,General civil cases,3356
459,2020/2021,Northwest Territories,Total cases,5764
460,2020/2021,Nova Scotia,Family cases,41274
461,2020/2021,Nova Scotia,General civil cases,62204
462,2020/2021,Nova Scotia,Total cases,103478
463,2020/2021,Nunavut,Family cases,2572
464,2020/2021,Nunavut,General civil cases,1370
465,2020/2021,Nunavut,Total cases,3942
466,2020/2021,Ontario,Family cases,409566
467,2020/2021,Ontario,General civil cases,741132
468,2020/2021,Ontario,Total cases,1150698
469,2020/2021,Prince Edward Island,Family cases,4344
470,2020/2021,Prince Edward Island,General civil cases,10124
471,2020/2021,Prince Edward Island,Total cases,14468
472,2020/2021,Yukon,Family cases,1710
473,2020/2021,Yukon,General civil cases,3014
474,2020/2021,Yukon,Total cases,4724
475,2021/2022,Alberta,Family cases,240050
476,2021/2022,Alberta,General civil cases,509384
477,2021/2022,Alberta,Total cases,749434
478,2021/2022,British Columbia,Family cases,198968
479,2021/2022,British Columbia,General civil cases,460610
480,2021/2022,British Columbia,Total cases,659578
481,2021/2022,Canada,Family cases,1021448
482,2021/2022,Canada,General civil cases,1978142
483,2021/2022,Canada,Total cases,2999590
484,2021/2022,New Brunswick,Family cases,24592
485,2021/2022,New Brunswick,General civil cases,42810
486,2021/2022,New Brunswick,Total cases,67402
487,2021/2022,Northwest Territories,Family cases,2272
488,2021/2022,Northwest Territories,General civil cases,3118
489,2021/2022,Northwest Territories,Total cases,5390
490,2021/2022,Nova Scotia,Family cases,43906
491,2021/2022,Nova Scotia,General civil cases,72986
492,2021/2022,Nova Scotia,Total cases,116892
493,2021/2022,Nunavut,Family cases,2824
494,2021/2022,Nunavut,General civil cases,1268
495,2021/2022,Nunavut,Total cases,4092
496,2021/2022,Ontario,Family cases,502732
497,2021/2022,Ontario,General civil cases,874454
498,2021/2022,Ontario,Total cases,1377186
499,2021/2022,Prince Edward Island,Family cases,4542
500,2021/2022,Prince Edward Island,General civil cases,10356
501,2021/2022,Prince Edward Island,Total cases,14898
502,2021/2022,Yukon,Family cases,1562
503,2021/2022,Yukon,General civil cases,3156
504,2021/2022,Yukon,Total cases,4718
