Year Period,Jurisdiction,Type of case,Number of cases
2018/2019,Northwest Territories,General civil cases,4982
2018/2019,Northwest Territories,Total cases,7566
2018/2019,Nova Scotia,Family cases,52008
2018/2019,Nova Scotia,General civil cases,83462
2018/2019,Nova Scotia,Total cases,135470
2018/2019,Nunavut,Family cases,3810
2018/2019,Nunavut,General civil cases,1502
2018/2019,Nunavut,Total cases,5312
2018/2019,Ontario,Family cases,634568
2018/2019,Ontario,General civil cases,1199386
2018/2019,Ontario,Total cases,1833954
2018/2019,Prince Edward Island,Family cases,5552
2018/2019,Prince Edward Island,General civil cases,12432
2018/2019,Prince Edward Island,Total cases,17984
2018/2019,Saskatchewan,Family cases,38322
2018/2019,Saskatchewan,General civil cases,73908
2018/2019,Saskatchewan,Total cases,112230
2018/2019,Yukon,Family cases,1996
2018/2019,Yukon,General civil cases,3334
2018/2019,Yukon,Total cases,5330
2019/2020,Alberta,Family cases,266118
2019/2020,Alberta,General civil cases,597310
2019/2020,Alberta,Total cases,863428
2019/2020,British Columbia,Family cases,219116
2019/2020,British Columbia,General civil cases,564304
2019/2020,British Columbia,Total cases,783420
2019/2020,Canada,Family cases,1173768
2019/2020,Canada,General civil cases,2552870
2019/2020,Canada,Total cases,3726638
2019/2020,New Brunswick,Family cases,29076
2019/2020,New Brunswick,General civil cases,43224
2019/2020,New Brunswick,Total cases,72300
2019/2020,Northwest Territories,Family cases,2316
2019/2020,Northwest Territories,General civil cases,4560
2019/2020,Northwest Territories,Total cases,6876
2019/2020,Nova Scotia,Family cases,49560
2019/2020,Nova Scotia,General civil cases,80986
2019/2020,Nova Scotia,Total cases,130546
2019/2020,Nunavut,Family cases,2912
2019/2020,Nunavut,General civil cases,1076
2019/2020,Nunavut,Total cases,3988
2019/2020,Ontario,Family cases,559846
2019/2020,Ontario,General civil cases,1175214
2019/2020,Ontario,Total cases,1735060
2019/2020,Prince Edward Island,Family cases,5582
2019/2020,Prince Edward Island,General civil cases,11430
2019/2020,Prince Edward Island,Total cases,17012
2019/2020,Saskatchewan,Family cases,37466
2019/2020,Saskatchewan,General civil cases,71470
2019/2020,Saskatchewan,Total cases,108936
